job,link,company,experience,salary,location,skill
React Native Developer,https://www.naukri.com/job-listings-react-native-developer-koireader-technologies-private-limited-bangalore-bengaluru-0-to-4-years-220222000259?src=jobsearchDesk&sid=16488757606936845&xp=15&px=1,KOIREADER TECHNOLOGIES PRIVATE LIMITED,0-4 Yrs,Not disclosed,Bangalore/Bengaluru,"redux, front end, css, Mobile Development, android, E56, Hybrid App, Node.Js, "
React Developer,https://www.naukri.com/job-listings-react-developer-vanilla-networks-pvt-ltd-kochi-cochin-calicut-kozhikode-trivandrum-thiruvananthapuram-0-to-1-years-010422000381?src=jobsearchDesk&sid=16488757606936845&xp=16&px=1,Vanilla Networks Pvt Ltd.,0-1 Yrs,Not disclosed,"Kochi/Cochin, Calicut/Kozhikode, Trivandrum/Thiruvananthapuram(WFH during Covid)","React.Js, front - end development, Redux, React js, HTML, RESTful API, JSON, CSS, "
React Native Developer,https://www.naukri.com/job-listings-react-native-developer-miraki-technologies-pvt-ltd-hyderabad-secunderabad-0-to-5-years-280322002629?src=jobsearchDesk&sid=16488757606936845&xp=17&px=1,Miraki Technologies Pvt Ltd,0-5 Yrs,Not disclosed,Hyderabad/Secunderabad,"React Native, Android Studio, XCode, IT Skills, Javascript, Gradle, Rest Api, "
React Native developer (DM- 3301),https://www.naukri.com/job-listings-react-native-developer-dm-3301-oodles-technologies-pvt-ltd-gurgaon-gurugram-0-to-1-years-250322004034?src=jobsearchDesk&sid=16488757606936845&xp=18&px=1,Oodles Technologies Pvt Ltd,0-1 Yrs,Not disclosed,Gurgaon/Gurugram,"communication, Native development, redux, css, react, REST APIs, Android Studio, typescript, "
React Js Developer Trainee,https://www.naukri.com/job-listings-react-js-developer-trainee-ecosmob-technologies-pvt-ltd-ahmedabad-0-to-2-years-041021500849?src=jobsearchDesk&sid=16488757606936845&xp=19&px=1,Ecosmob Technologies Pvt. Ltd.,0-2 Yrs,Not disclosed,Ahmedabad,"ES6 / 7 / 8, Redux RXJS, SCSS, React js, Less, JavaScript, XML, HTML5, "
Associate Developer React . JS,https://www.naukri.com/job-listings-associate-developer-react-js-resemble-systems-india-pvt-ltd-remote-0-to-2-years-291221502069?src=jobsearchDesk&sid=16488757606936845&xp=20&px=1,Resemble Systems India Pvt Ltd,0-2 Yrs,Not disclosed,Remote,"git, React js, JavaScript, REST, React Development, communication, Redux, IT Skills, "
"Bulk Hiring .NET Developer| upto 2 yrs exp| ASP.NET, C# SQL",https://www.naukri.com/job-listings-bulk-hiring-net-developer-upto-2-yrs-exp-asp-net-c-sql-calibrated-healthcare-systems-india-pvt-ltd-gurgaon-gurugram-0-to-2-years-150721002576?src=jobsearchDesk&sid=16488757724224897&xp=1&px=1,Calibrated Healthcare Systems India Pvt. Ltd,0-2 Yrs,"1,25,000 - 5,00,000 PA.",Gurgaon/Gurugram(WFH during Covid),"C#, MS SQL Server, ASP.Net, Software Development, .Net, .NET Framework, "
SQL Developer - Data Backup & Migration,https://www.naukri.com/job-listings-sql-developer-data-backup-migration-carbynetech-india-hyderabad-secunderabad-0-to-5-years-170721901137?src=jobsearchDesk&sid=16488757724224897&xp=2&px=1,CarbyneTech India,0-5 Yrs,Not disclosed,Hyderabad/Secunderabad,"Data Migration, PL-SQL, RDBMS, MySQL, SQL Server, Data Backup, Code Versioning Tools, SQL, "
Software Product Developer Engineer - Asp .Net MVC C# SQL JavaScript,https://www.naukri.com/job-listings-software-product-developer-engineer-asp-net-mvc-c-sql-javascript-steerminds-pvt-ltd-bangalore-bengaluru-0-to-2-years-300322000547?src=jobsearchDesk&sid=16488757724224897&xp=3&px=1,Steerminds Pvt Ltd,0-2 Yrs,Not disclosed,Bangalore/Bengaluru(Mico Layout +1),"IT Skills, Testing, C#, XAML, Web Api, LINQ, HTML, JSON, "
.Net Backend Developer - ASP/SQL Server,https://www.naukri.com/job-listings-net-backend-developer-asp-sql-server-gharoffice-bangalore-bengaluru-0-to-5-years-301221909168?src=jobsearchDesk&sid=16488757724224897&xp=4&px=1,GharOffice,0-5 Yrs,Not disclosed,Bangalore/Bengaluru,".Net, SQL Server, ASP, IT Skills, Javascript, ASP.Net, C#, Backend Developer, "
Sql Developer Trainee,https://www.naukri.com/job-listings-sql-developer-trainee-appsource-services-private-limited-bangalore-bengaluru-0-to-1-years-310322007120?src=jobsearchDesk&sid=16488757724224897&xp=5&px=1,APPSOURCE SERVICES PRIVATE LIMITED,0-1 Yrs,"1,50,000 - 2,00,000 PA.",Bangalore/Bengaluru(HSR Layout),"SQL Server, Oracle Collection, PL / SQL, SQL, SQL Query tuning, IT Skills, Oracle, functions, "
Data Analyst - SSRS/SQL Server,https://www.naukri.com/job-listings-data-analyst-ssrs-sql-server-satori-group-navi-mumbai-0-to-2-years-290322911378?src=jobsearchDesk&sid=16488757724224897&xp=6&px=1,Satori Group,0-2 Yrs,Not disclosed,Navi Mumbai,"SAP, SQL, Oracle, SSRS, ERP, SQL query, ACL, IT Skills, "
Cybage Hiring For Java/SQL Freshers : Support Role : Pune,https://www.naukri.com/job-listings-cybage-hiring-for-java-sql-freshers-support-role-pune-cybage-software-pvt-ltd-pune-0-to-1-years-010422003490?src=jobsearchDesk&sid=16488757724224897&xp=7&px=1,Cybage,0-1 Yrs,Not disclosed,Pune,"java, sql, PL / SQL, debugging, OOPS, REST, verbal, written communication, "
"Mobiel Application - AngularJS, PostGre, SQL Server",https://www.naukri.com/job-listings-mobiel-application-angularjs-postgre-sql-server-krishikan-krishikan-pvt-ltd-bangalore-bengaluru-0-to-1-years-250322003415?src=jobsearchDesk&sid=16488757724224897&xp=8&px=1,"Krishikan Krishikan Pvt Ltd.,",0-1 Yrs,"50,000 - 3,00,000 PA.",Bangalore/Bengaluru(WFH during Covid),"SQL Server, "
Job Opening For SQL Developer - Navi Mumbai - Immediate To 15 Days,https://www.naukri.com/job-listings-opening-for-sql-developer-navi-mumbai-immediate-to-15-days-talent-sketchers-navi-mumbai-0-to-3-years-290322001078?src=jobsearchDesk&sid=16488757724224897&xp=9&px=1,Talent Sketchers ,0-3 Yrs,Not disclosed,Navi Mumbai,"sql development, SQL, "
Requirement For SQL with SAP Security Administration or SAP ABAP,https://www.naukri.com/job-listings-requirement-for-sql-with-sap-security-administration-or-sap-abap-wns-global-services-private-limited-pune-bangalore-bengaluru-0-to-2-years-220322007803?src=jobsearchDesk&sid=16488757724224897&xp=10&px=1,WNS Global Services,0-2 Yrs,"1,00,000 - 6,00,000 PA.","Pune, Bangalore/Bengaluru","sql, oracle, software development, sap security administration, sap abap, stored procedures, communication skills, "
ETL SQL Developer,https://www.naukri.com/job-listings-etl-sql-developer-collabera-technologies-pvt-ltd-pune-0-to-4-years-250322500064?src=jobsearchDesk&sid=16488757724224897&xp=11&px=1,Collabera Technologies Pvt. Ltd.,0-4 Yrs,Not disclosed,Pune,"SQL, ETL, SQL queries, Debugging, "
SQL Developer (Fresher),https://www.naukri.com/job-listings-sql-developer-fresher-ramco-systems-limited-madurai-0-to-1-years-240322004834?src=jobsearchDesk&sid=16488757724224897&xp=12&px=1,Ramco Systems Limited,0-1 Yrs,Not disclosed,Madurai,"SQL, written communication, data structures, verbal, SQL Server, "
Urg Opening For Asp.net SQL Server in Software Company,https://www.naukri.com/job-listings-urg-opening-for-asp-net-sql-server-in-software-company-star-n-star-placement-bareilly-lucknow-0-to-5-years-010422005843?src=jobsearchDesk&sid=16488757724224897&xp=14&px=1,Star n Star Placement ,0-5 Yrs,Not disclosed,"Bareilly, Lucknow","SQL Server, Asp net, Communication, IT Skills, ASP.Net, Software Engineering, asp.net  SQL Server, "
". Engineer, Sr Engineer  - Oracle+ SQL + Linux - Bangalore",https://www.naukri.com/job-listings-engineer-sr-engineer-oracle-sql-linux-bangalore-comviva-technologies-limited-bangalore-bengaluru-0-to-4-years-220322001847?src=jobsearchDesk&sid=16488757724224897&xp=15&px=1,Comviva Technology,0-4 Yrs,Not disclosed,Bangalore/Bengaluru,"Oracle, Linux, SQL, IT Skills, "
Urgent need of SQL Admin role For one of our IT client :- Wipro,https://www.naukri.com/job-listings-urgent-need-of-sql-admin-role-for-one-of-our-it-client-wipro-vision-beyond-resources-india-private-limited-mysore-mysuru-0-to-1-years-280322602006?src=jobsearchDesk&sid=16488757724224897&xp=16&px=1,Vision Beyond Resources India Private Limited,0-1 Yrs,Not disclosed,Mysore/Mysuru,"c++, java, communication, python, SQL, IT Skills, SQL Server, "
Urgent need of SQL Admin role For one of our IT client :- Wipro,https://www.naukri.com/job-listings-urgent-need-of-sql-admin-role-for-one-of-our-it-client-wipro-vision-beyond-resources-india-private-limited-mysore-mysuru-0-to-1-years-280322002004?src=jobsearchDesk&sid=16488757724224897&xp=17&px=1,Vision Beyond Resources India Private Limited,0-1 Yrs,Not disclosed,Mysore/Mysuru,"c, SQL, python, communication, java, IT Skills, c++, SQL Server, "
Database Support Engineer - SQL/ Oracle DB,https://www.naukri.com/job-listings-database-support-engineer-sql-oracle-db-finxera-chandigarh-0-to-5-years-280122908379?src=jobsearchDesk&sid=16488757724224897&xp=18&px=1,Finxera,0-5 Yrs,Not disclosed,Chandigarh,"Oracle DB, Database Support, SQL, Database Maintenance, production support, database programming, MySQL, DBA Support, "
Hiring Freshers For SQL (Kronos) Requirement,https://www.naukri.com/job-listings-hiring-freshers-for-sql-kronos-requirement-people-tech-enterprises-private-limited-hyderabad-secunderabad-0-to-1-years-220322007404?src=jobsearchDesk&sid=16488757724224897&xp=19&px=1,PEOPLE TECH ENTERPRISES PRIVATE LIMITED,0-1 Yrs,Not disclosed,Hyderabad/Secunderabad,"oral communication, written, PLSQL, SQL, Java, kronos, SQL Server, "
Sql Developer,https://www.naukri.com/job-listings-sql-developer-probuz-technologies-private-limited-nagpur-0-to-2-years-240322006685?src=jobsearchDesk&sid=16488757724224897&xp=20&px=1,PROBUZ TECHNOLOGIES PRIVATE LIMITED,0-2 Yrs,Not disclosed,Nagpur,"SQL, SQL server, C++, C, Tsql Development, PLSQL, Tsql Queries, DBMS, "
Frontend and User Interface Developer,https://www.naukri.com/job-listings-frontend-and-user-interface-developer-zedex-info-private-limited-mumbai-suburban-thane-mumbai-all-areas-0-to-1-years-310322003490?src=jobsearchDesk&sid=16488758049473746&xp=1&px=1,Zedex info private limited ,0-1 Yrs,"90,000 - 2,25,000 PA.","Mumbai Suburban, Thane, Mumbai (All Areas)","html, Css And Javascript, IT Skills, Software Development, Angularjs, Node.js, CSS, Javascript, "
"Frontend UI (HTML, CSS, JavaScript) Developer",https://www.naukri.com/job-listings-frontend-ui-html-css-javascript-developer-securly-software-india-pvt-ltd-pune-0-to-2-years-280322002641?src=jobsearchDesk&sid=16488758049473746&xp=2&px=1,Securly Software,0-2 Yrs,Not disclosed,Pune(Senapati Bapat Road),"css, html, javascript, CSS framework, Angular, Bootstrap, React, SASS, "
UI/UX Frontend Developers - Freshers / Immediate Opening,https://www.naukri.com/job-listings-ui-ux-frontend-developers-freshers-immediate-opening-e-orchids-techsolutions-private-limited-chennai-0-to-2-years-010422004726?src=jobsearchDesk&sid=16488758049473746&xp=3&px=1,E ORCHIDS TECHSOLUTIONS PRIVATE LIMITED,0-2 Yrs,Not disclosed,Chennai(WFH during Covid),"CSS, Javascript, HTML, JQuery, Ajax, CSS3, Bootstrap, React, "
Angular 6+ Front End Developer/ Sr. Frontend Developer,https://www.naukri.com/job-listings-angular-6-front-end-developer-sr-frontend-developer-ysoft-solution-ahmedabad-0-to-2-years-270120501163?src=jobsearchDesk&sid=16488758049473746&xp=4&px=1,YSoft Solution,0-2 Yrs,Not disclosed,Ahmedabad,"Typescript, Angular6, API Integration, Node JS, analytical, communication, Front end, Debugging, "
Frontend Developer - Angular 8/Javascript,https://www.naukri.com/job-listings-frontend-developer-angular-8-javascript-hyrezy-talent-solutions-chandigarh-0-to-3-years-280721000301?src=jobsearchDesk&sid=16488758049473746&xp=5&px=1,HyrEzy Talent Solutions,0-3 Yrs,Not disclosed,Chandigarh,"Angular 8 +, debugging, HTML, jQuery, JavaScript, CSS, communication, IT Skills, "
Angular Developer Intern/ FrontEnd Intern,https://www.naukri.com/job-listings-angular-developer-intern-frontend-intern-physicswallah-private-limited-noida-0-to-1-years-260322004808?src=jobsearchDesk&sid=16488758049473746&xp=6&px=1,PHYSICSWALLAH PRIVATE LIMITED ,0-1 Yrs,Not disclosed,Noida(Sector-62 Noida)(WFH during Covid),"Front End, frontend de, Frontend Development, Javascript, Angular, "
Frontend Developer,https://www.naukri.com/job-listings-frontend-developer-sm-it-service-indore-0-to-4-years-300621500528?src=jobsearchDesk&sid=16488758049473746&xp=7&px=1,SM IT Service,0-4 Yrs,Not disclosed,Indore,"Web UI, Backend, github, CSS, jQuery, Front end, Web technologies, Web application, "
Frontend Developer,https://www.naukri.com/job-listings-frontend-developer-famepilot-internet-gurgaon-0-to-2-years-140220500671?src=jobsearchDesk&sid=16488758049473746&xp=8&px=1,Famepilot Internet,0-2 Yrs,Not disclosed,Gurgaon,"UI development, POP, github, Front end, Data structures, wireframing, HTML, Customer support, "
Frontend Developer – JavaScript,https://www.naukri.com/job-listings-frontend-developer-javascript-momentum-metropolitan-services-private-limited-mumbai-0-to-5-years-240122501093?src=jobsearchDesk&sid=16488758049473746&xp=9&px=1,Momentum Metropolitan Services Private Limited,0-5 Yrs,Not disclosed,Mumbai,"Java, Angular, AWS Cloud, IT Skills, Cloud, AWS, Java Developer, Frontend Developer, "
Associate Frontend Developer,https://www.naukri.com/job-listings-associate-frontend-developer-multi-recruit-bangalore-bengaluru-0-to-2-years-071221500055?src=jobsearchDesk&sid=16488758049473746&xp=10&px=1,Multi Recruit,0-2 Yrs,Not disclosed,Bangalore/Bengaluru,"Css, Front End, Financial Services, Javascript, Web Designer, Web Application, Html, Object Oriented Programming, "
Senior Software Engineer Frontend,https://www.naukri.com/job-listings-senior-software-engineer-frontend-byju-s-bangalore-bengaluru-0-to-3-years-140921501431?src=jobsearchDesk&sid=16488758049473746&xp=11&px=1,BYJUS,0-3 Yrs,Not disclosed,Bangalore/Bengaluru,"Architect, Front end, GIT, Web technologies, Scalability, Coding, Javascript, SMS, "
Frontend Web Developer,https://www.naukri.com/job-listings-frontend-web-developer-bm-coder-gandhinagar-ahmedabad-rajkot-0-to-2-years-120322000924?src=jobsearchDesk&sid=16488758049473746&xp=12&px=1,BM Coder,0-2 Yrs,"50,000 - 2,50,000 PA.","Gandhinagar, Ahmedabad, Rajkot","Html And Css, Bootstrap Css Framework, Javascript, AJAX, API's, JQuery, Bootstrap, XML, "
Frontend Developer Internship,https://www.naukri.com/job-listings-frontend-developer-internship-heart-it-out-remote-0-to-1-years-100122500426?src=jobsearchDesk&sid=16488758049473746&xp=13&px=1,Heart It Out,0-1 Yrs,Not disclosed,remote,"Css, Wordpress, Javascript, User Experience, Html, Front End Developer, Jquery, "
Frontend developers,https://www.naukri.com/job-listings-frontend-developers-astech-solutions-mumbai-0-to-3-years-231220501688?src=jobsearchDesk&sid=16488758049473746&xp=14&px=1,astech solutions,0-3 Yrs,Not disclosed,Mumbai,"jQuery, Angular, wordpress, Git, bootstrap framework, IT Skills, HTML, CSS, "
Frontend Developer,https://www.naukri.com/job-listings-frontend-developer-weblink-solutions-hyderabad-secunderabad-0-to-6-years-190221500673?src=jobsearchDesk&sid=16488758049473746&xp=15&px=1,Weblink Solutions,0-6 Yrs,Not disclosed,Hyderabad,"PHP Framework, Joomla, AJAX, Drupal, MySQL, jQuery, PHP, WordPress, "
Frontend Developer,https://www.naukri.com/job-listings-frontend-developer-testbook-com-navi-mumbai-0-to-3-years-160921501068?src=jobsearchDesk&sid=16488758049473746&xp=16&px=1,Testbook Edu Solutions,0-3 Yrs,Not disclosed,Navi Mumbai,"continuous integration, GIT, Shell scripting, Javascript, CMS, PHP, test driven development, SEO, "
Frontend Developer,https://www.naukri.com/job-listings-frontend-developer-hrdevi-talent-acquisition-hyderabad-secunderabad-0-to-1-years-040219501181?src=jobsearchDesk&sid=16488758049473746&xp=17&px=1,HRDevi Talent Acquisition,0-1 Yrs,Not disclosed,Hyderabad,"Analytical skills, Translation, Front end, Architecture, Javascript, Programming, Data structures, Internship, "
Frontend Developer - Trainee,https://www.naukri.com/job-listings-frontend-developer-trainee-mocioun-techlabs-pvt-ltd-kozhikode-calicut-0-to-1-years-020720500116?src=jobsearchDesk&sid=16488758049473746&xp=18&px=1,Mocioun TechLabs Pvt. Ltd.,0-1 Yrs,Not disclosed,Kozhikode,"Frontend Developer, testing, "
Frontend Developer - Intern,https://www.naukri.com/job-listings-frontend-developer-intern-ai-monks-remote-0-to-2-years-020421500895?src=jobsearchDesk&sid=16488758049473746&xp=19&px=1,AI Monks,0-2 Yrs,Not disclosed,Remote,"Backend, Front end, Web technologies, Intern, "
Frontend Web Developer Intern,https://www.naukri.com/job-listings-frontend-web-developer-intern-fabulous-media-private-limited-gurgaon-gurugram-0-to-1-years-011121500268?src=jobsearchDesk&sid=16488758049473746&xp=20&px=1,FABULOUS MEDIA PRIVATE LIMITED,0-1 Yrs,Not disclosed,Gurgaon/Gurugram,"Adobe Illustrator, CSS, verbal communication, JavaScript, HTML, communication, jQuery, Web Developer, "
Backend / Computer Data Entry Operator / BPO / Back Office Executive,https://www.naukri.com/job-listings-backend-computer-data-entry-operator-bpo-back-office-executive-seal-tech-pvt-ltd-pune-0-to-2-years-010422000387?src=jobsearchDesk&sid=16488758165781082&xp=1&px=1,SEAL TECH PVT LTD,0-2 Yrs,"1,00,000 - 2,50,000 PA.",Pune,"Backend, back office, "
Backend / Computer Data Entry Operator / BPO / Back Office Executive,https://www.naukri.com/job-listings-backend-computer-data-entry-operator-bpo-back-office-executive-txn-placement-private-limited-pune-0-to-4-years-071021002662?src=jobsearchDesk&sid=16488758165781082&xp=2&px=1,TXN PLACEMENT PRIVATE LIMITED  ,0-4 Yrs,"1,50,000 - 3,25,000 PA.",Pune,"backend executive, back office, non voice, backend, BPO, data entry, night shift, Email Support, "
Backend / Computer Data Entry Operator / BPO / Back Office Executive,https://www.naukri.com/job-listings-backend-computer-data-entry-operator-bpo-back-office-executive-bsq-infotech-noida-gurgaon-gurugram-delhi-ncr-0-to-3-years-010422001243?src=jobsearchDesk&sid=16488758165781082&xp=3&px=1,BSQ INFOTECH  ,0-3 Yrs,"1,25,000 - 2,75,000 PA.","Noida, Gurgaon/Gurugram, Delhi / NCR","Technical Support, BPO, data entry, night shift, Email Support, browsing, backend executive, screening, "
Backend / Computer Data Entry Operator / BPO / Back Office Executive,https://www.naukri.com/job-listings-backend-computer-data-entry-operator-bpo-back-office-executive-seal-tech-pvt-ltd-pune-0-to-3-years-300322000413?src=jobsearchDesk&sid=16488758165781082&xp=4&px=1,SEAL TECH PVT LTD,0-3 Yrs,"1,25,000 - 3,00,000 PA.",Pune,"excel, ms excel, mis executive, advance excel, ms office, "
Backend / Computer Data Entry Operator / BPO / Back Office Executive,https://www.naukri.com/job-listings-backend-computer-data-entry-operator-bpo-back-office-executive-seal-tech-pvt-lid-pune-0-to-2-years-280322000287?src=jobsearchDesk&sid=16488758165781082&xp=5&px=1,SEAL TECH PVT LID,0-2 Yrs,"1,00,000 - 2,50,000 PA.",Pune,"bpo call center, English, computer operating, domestic bpo, bpo fresher, back office, Data Entry, selection process, "
Back Office Executive| Backend | data Entry | non Voice | BPO,https://www.naukri.com/job-listings-back-office-executive-backend-data-entry-non-voice-bpo-txn-placement-private-limited-pune-0-to-4-years-310322004521?src=jobsearchDesk&sid=16488758165781082&xp=6&px=1,TXN PLACEMENT PRIVATE LIMITED   ,0-4 Yrs,"1,25,000 - 3,50,000 PA.",Pune,"BPO, Non Voice Process, Computer Operating, Data Entry, non voice, day shift, Semi Voice, Reception, "
Back Office Executive| Backend | Data Entry | Non Voice | BPO,https://www.naukri.com/job-listings-back-office-executive-backend-data-entry-non-voice-bpo-txn-placement-private-limited-pune-0-to-4-years-010422000450?src=jobsearchDesk&sid=16488758165781082&xp=7&px=1,TXN PLACEMENT PRIVATE LIMITED  ,0-4 Yrs,"1,50,000 - 3,25,000 PA.",Pune,"backend, BPO, night shift, Email Support, browsing, backend executive, screening, mnc, "
Back Office Executive| Backend | Data Entry | Non Voice | BPO,https://www.naukri.com/job-listings-back-office-executive-backend-data-entry-non-voice-bpo-freelancer-mohd-shaan-pune-0-to-3-years-010422000666?src=jobsearchDesk&sid=16488758165781082&xp=8&px=1,Freelancer Mohd. Shaan ,0-3 Yrs,"1,25,000 - 3,50,000 PA.",Pune,"BPO, data entry, bpo call center, domestic bpo, "
Back Office Executive- Backend - data Entry - non Voice - BPO,https://www.naukri.com/job-listings-back-office-executive-backend-data-entry-non-voice-bpo-deed-consultant-services-mumbai-mumbai-suburban-thane-0-to-3-years-290821002300?src=jobsearchDesk&sid=16488758165781082&xp=9&px=1,Deed Consultant Services ,0-3 Yrs,"1,50,000 - 3,25,000 PA.","Mumbai, Mumbai Suburban, Thane","BPO, voice, data entry, Email Support, Email, Accounting, Office Package, Browsing, "
Backend / Computer Data Entry Operator / BPO / Back Office Executive,https://www.naukri.com/job-listings-backend-computer-data-entry-operator-bpo-back-office-executive-freelancer-prateek-singh-pune-0-to-3-years-260322000618?src=jobsearchDesk&sid=16488758165781082&xp=10&px=1,Freelancer Prateek Singh ,0-3 Yrs,"1,25,000 - 3,00,000 PA.",Pune(WFH during Covid),"bpo, Customer Service, International Call Center, Bdm, Voice Process, Data Entry, Backend, Customer Support, "
Backend / Computer Data Entry Operator / BPO / Back Office Executive,https://www.naukri.com/job-listings-backend-computer-data-entry-operator-bpo-back-office-executive-bsq-infotech-noida-gurgaon-gurugram-delhi-ncr-0-to-3-years-280322000365?src=jobsearchDesk&sid=16488758165781082&xp=11&px=1,BSQ INFOTECH  ,0-3 Yrs,"1,25,000 - 2,75,000 PA.","Noida, Gurgaon/Gurugram, Delhi / NCR","BPO, data entry, night shift, Email Support, browsing, backend executive, screening, mnc, "
Computer Data Entry Operator / Backend / BPO / Back Office Executive,https://www.naukri.com/job-listings-computer-data-entry-operator-backend-bpo-back-office-executive-jobsdeed-pune-0-to-0-years-280322000207?src=jobsearchDesk&sid=16488758165781082&xp=12&px=1,Jobsdeed ,0-0 Yrs,"1,25,000 - 3,00,000 PA.",Pune,"BPO, back office, data entry, Cca, Email Support, Customer Service, Typing, cce, "
Backend / Computer Data Entry Operator / BPO / Back Office Executive,https://www.naukri.com/job-listings-backend-computer-data-entry-operator-bpo-back-office-executive-freelancer-mohd-shaan-mumbai-thane-navi-mumbai-0-to-2-years-290322005159?src=jobsearchDesk&sid=16488758165781082&xp=13&px=1,Freelancer Mohd. Shaan ,0-2 Yrs,"1,25,000 - 3,50,000 PA.","Mumbai, Thane, Navi Mumbai(WFH during Covid)","BPO, data entry, bpo call center, English, computer operating, domestic bpo, bpo fresher, back office, "
Backend / Computer Data Entry Operator / BPO / Back Office Executive,https://www.naukri.com/job-listings-backend-computer-data-entry-operator-bpo-back-office-executive-bsd-technologies-private-limited-pune-bangalore-bengaluru-mumbai-all-areas-0-to-5-years-240322001023?src=jobsearchDesk&sid=16488758165781082&xp=14&px=1,BSD Technologies Private Limited,0-5 Yrs,"1,50,000 - 4,00,000 PA.","Pune, Bangalore/Bengaluru, Mumbai (All Areas)","BPO, non voice, inbound, back office, telecalling, data entry, Tem Leader, Computer Operator, "
Backend / Computer Data Entry Operator / BPO / Back Office Executive,https://www.naukri.com/job-listings-backend-computer-data-entry-operator-bpo-back-office-executive-seal-tech-pvt-ltd-pune-0-to-2-years-220322000519?src=jobsearchDesk&sid=16488758165781082&xp=15&px=1,SEAL TECH PVT LTD,0-2 Yrs,"1,00,000 - 2,50,000 PA.",Pune,"Backend, back office, Computer Operating, Back Office Operations, Non Voice, data entry, "
Back Office Operation/backend /data Entry/analyst,https://www.naukri.com/job-listings-back-office-operation-backend-data-entry-analyst-futurepro-global-outsourcing-private-limited-jaipur-0-to-2-years-210322501411?src=jobsearchDesk&sid=16488758165781082&xp=16&px=1,FUTUREPRO GLOBAL OUTSOURCING PRIVATE LIMITED,0-2 Yrs,Not disclosed,Jaipur,"BPO, Legal process outsourcing, Backend, Data analysis, PDF, Data management, Back office, Scheduling, "
Backend / Computer Data Entry Operator / BPO / Back Office Executive,https://www.naukri.com/job-listings-backend-computer-data-entry-operator-bpo-back-office-executive-bsq-infotech-noida-gurgaon-gurugram-delhi-ncr-0-to-3-years-230322000566?src=jobsearchDesk&sid=16488758165781082&xp=17&px=1,BSQ INFOTECH  ,0-3 Yrs,"1,25,000 - 2,75,000 PA.","Noida, Gurgaon/Gurugram, Delhi / NCR","BPO, data entry, night shift, Email Support, browsing, backend executive, screening, mnc, "
Backend / Computer Data Entry Operator / BPO / Back Office Executive,https://www.naukri.com/job-listings-backend-computer-data-entry-operator-bpo-back-office-executive-bsq-infotech-noida-gurgaon-gurugram-delhi-ncr-0-to-3-years-100122000570?src=jobsearchDesk&sid=16488758165781082&xp=18&px=1,BSQ INFOTECH  ,0-3 Yrs,"1,25,000 - 2,75,000 PA.","Noida, Gurgaon/Gurugram, Delhi / NCR","BPO, data entry, night shift, Email Support, browsing, backend executive, screening, mnc, "
Backend / Computer Data Entry Operator / BPO / Back Office Executive,https://www.naukri.com/job-listings-backend-computer-data-entry-operator-bpo-back-office-executive-freelancer-prateek-singh-pune-0-to-3-years-250322000852?src=jobsearchDesk&sid=16488758165781082&xp=19&px=1,Freelancer Prateek Singh ,0-3 Yrs,"1,25,000 - 3,00,000 PA.",Pune(WFH during Covid),"BPO, data entry, Customer Service, International Call Center, Bdm, Voice Process, Backend, Customer Support, "
Backend / Computer Data Entry Operator / BPO / Back Office Executive,https://www.naukri.com/job-listings-backend-computer-data-entry-operator-bpo-back-office-executive-jobsdeed-pune-0-to-0-years-220322000404?src=jobsearchDesk&sid=16488758165781082&xp=20&px=1,Jobsdeed ,0-0 Yrs,"1,50,000 - 3,00,000 PA.",Pune(WFH during Covid),"BPO, data entry, voice, Cca, Customer Service, International Call Center, cce, Telesales, "
Full Stack Engineer (MERN/MEAN),https://www.naukri.com/job-listings-full-stack-engineer-mern-mean-pepper-cloud-delhi-ncr-0-to-4-years-280322907567?src=jobsearchDesk&sid=16488758488346493&xp=1&px=1,Pepper Cloud,0-4 Yrs,Not disclosed,Delhi / NCR(WFH during Covid),"Mern, Mean, Restful API, React, Javascript, Webpack, Grunt, Redux, "
Mean/Mern Stack Developer (DM-3278),https://www.naukri.com/job-listings-mean-mern-stack-developer-dm-3278-oodles-technologies-pvt-ltd-gurgaon-gurugram-0-to-1-years-090322005271?src=jobsearchDesk&sid=16488758488346493&xp=2&px=1,Oodles Technologies Pvt Ltd,0-1 Yrs,Not disclosed,Gurgaon/Gurugram,"node js, Mean Stack, Node.Js, MySQL, React, REST, analytical, communication, "
MERN Stack (ReactJS/NodeJS) and Java Developer,https://www.naukri.com/job-listings-mern-stack-reactjs-nodejs-and-java-developer-aron-infotech-nagpur-lucknow-0-to-5-years-280322007316?src=jobsearchDesk&sid=16488758488346493&xp=3&px=1,Aron Infotech ,0-5 Yrs,"4,00,000 - 9,00,000 PA.","Nagpur, Lucknow","node, CSS, MySQL, Javascript, Struts, HTML, J2Ee, React.Js, "
MERN Stack Developer,https://www.naukri.com/job-listings-mern-stack-developer-snaphunt-jaipur-0-to-4-years-100122003133?src=jobsearchDesk&sid=16488758488346493&xp=4&px=1,Snaphunt,0-4 Yrs,Not disclosed,Jaipur,"Node Js, node framework, Html, Angular, Node Js process manager, CSS, UX, rest API, "
